len	edfill	edtrace	edconv	edtotal	diagfill	diagtrace	diagconv	diagtotal	difffill	difftrace	diffconv	difftotal	gabafill	gabatrace	gabaconv	gabatotal	
1	2483000	1020000	349000	3852000	3056000	605000	320000	3981000	2436000	9512000	335000	12283000	1395000	617000	137000	2149000	
2	2550000	1025000	315000	3890000	2964000	607000	310000	3881000	2410000	9518000	362000	12290000	1391000	627000	141000	2159000	
5	2611000	1044000	344000	3999000	3127000	628000	317000	4072000	2521000	9575000	320000	12416000	1434000	685000	142000	2261000	
10	2698000	1068000	353000	4119000	3221000	646000	357000	4224000	2586000	9570000	341000	12497000	1472000	769000	138000	2379000	
20	2854000	1119000	426000	4399000	3415000	733000	380000	4528000	2793000	9637000	372000	12802000	1657000	718000	159000	2534000	
50	3397000	1249000	520000	5166000	3913000	877000	442000	5232000	3400000	9814000	479000	13693000	2104000	846000	177000	3127000	
70	3740000	1320000	592000	5652000	4464000	1147000	510000	6121000	3768000	9958000	555000	14281000	2418000	905000	217000	3540000	
100	4261000	1416000	680000	6357000	5000000	1227000	601000	6828000	4401000	10091000	626000	15118000	2862000	1044000	227000	4133000	
125	4617000	1491000	743000	6851000	5575000	1385000	663000	7623000	4892000	10302000	744000	15938000	3235000	1197000	243000	4675000	
250	6768000	1996000	1104000	9868000	8161000	2146000	1032000	11339000	7426000	11047000	1061000	19534000	5200000	1599000	420000	7219000	
330	8119000	2309000	1340000	11768000	9820000	2641000	1299000	13760000	8938000	11476000	1332000	21746000	6265000	1914000	540000	8719000	
500	10947000	2939000	1851000	15737000	13397000	3715000	1789000	18901000	12232000	12357000	1797000	26386000	8834000	2551000	753000	12138000	
700	14331000	3793000	2480000	20604000	17441000	5507000	2336000	25284000	16242000	13707000	2356000	32305000	11840000	3305000	990000	16135000	
1000	19443000	4858000	3417000	27718000	23577000	7866000	3183000	34626000	22107000	15605000	3259000	40971000	16331000	4462000	1316000	22109000	
1250	23665000	5850000	4206000	33721000	28773000	10125000	3919000	42817000	27036000	17224000	4055000	48315000	20168000	5405000	1615000	27188000	
2500	44614000	10577000	7863000	63054000	55756000	20387000	7674000	83817000	55040000	27446000	8173000	90659000	38844000	10175000	3016000	52035000	
3300	57777000	13754000	10167000	81698000	70816000	25879000	9763000	106458000	67651000	31163000	9994000	108808000	51604000	13335000	3965000	68904000	
5000	86522000	20600000	15244000	122366000	105773000	38806000	14655000	159234000	101467000	41981000	15032000	158480000	77797000	20051000	6185000	104033000	
7000	120127000	28789000	21136000	170052000	147083000	57365000	20302000	224750000	147166000	57388000	21958000	226512000	113310000	29208000	8608000	151126000	
10000	176225000	42647000	31033000	249905000	210350000	89007000	28880000	328237000	211649000	79936000	31385000	322970000	156224000	40473000	11846000	208543000	
12500	228613000	54894000	40236000	323743000	289398000	142436000	38991000	470825000	267045000	104237000	39379000	410661000	195818000	50745000	14808000	261371000	
25000	441934000	106786000	78166000	626886000	582399000	388627000	75811000	1046837000	534658000	309577000	77244000	921479000	366933000	95314000	27571000	489818000	
